time, color, angle, distance, speed, color_dev, color_int, color_der, speed_dev, speed_int, speed_der
0, 42, 10.8, 861, 991.4999999999999, 9.0, 9.0, 9.0, 661, 661.0, 661.0
58, 42, 7.199999999999999, 861, 793.1999999999999, 9.0, 18.0, 0.0, 661, 1322.0, 0
111, 38, 3.300000000000001, 856, 785.6999999999999, 5.0, 23.0, -4.0, 656, 1978.0, -5
170, 37, 4.6, 861, 794.6999999999999, 4.0, 27.0, -1.0, 661, 2639.0, 5
221, 33, 0.7000000000000002, 834, 752.6999999999999, 0.0, 27.0, -4.0, 634, 3273.000000000001, -27
276, 32, 1.5, 849, 783.2999999999999, -1.0, 26.0, -1.0, 649, 3922.0, 15
330, 29, -1.7, 831, 751.8, -4.0, 22.0, -3.0, 631, 4553.0, -18
387, 27, -3.0, 818, 737.7000000000001, -6.0, 16.0, -2.0, 618, 5171.0, -13
447, 23, -7.4, 814, 735.5999999999999, -10.0, 6.0, -4.0, 614, 5785.0, -4
502, 24, -5.199999999999999, 810, 730.8, -9.0, -3.0, 1.0, 610, 6395.0, -4
558, 27, -3.0, 792, 705.0, -6.0, -9.0, 3.0, 592, 6987.000000000001, -18
618, 31, -0.2999999999999998, 796, 716.4, -2.0, -11.0, 4.0, 596, 7583.0, 4
677, 33, -0.1000000000000001, 757, 656.6999999999999, 0.0, -11.0, 2.0, 557, 8140.000000000001, -39
735, 35, 1.3, 764, 678.9, 2.0, -9.0, 2.0, 564, 8704.000000000001, 7
787, 39, 5.3, 757, 666.2999999999999, 6.0, -3.0, 4.0, 557, 9261.000000000001, -7
840, 42, 7.5, 757, 668.4, 9.0, 6.0, 3.0, 557, 9818.000000000001, 0
897, 36, -0.3000000000000003, 757, 668.4, 3.0, 9.0, -6.0, 557, 10375.0, 0
950, 34, 0.6000000000000001, 757, 668.4, 1.0, 10.0, -2.0, 557, 10932.0, 0
1006, 31, -1.9, 726, 621.9, -2.0, 8.0, -3.0, 526, 11458.0, -31
1060, 31, -0.5999999999999998, 712, 610.1999999999999, -2.0, 6.0, 0.0, 512, 11970.0, -14
1116, 32, 0.4, 712, 614.4, -1.0, 5.0, 1.0, 512, 12482.0, 0
1169, 32, -0.2, 704, 602.4, -1.0, 4.0, 0.0, 504, 12986.0, -8
1224, 33, 0.9, 668, 550.8000000000001, 0.0, 4.0, 1.0, 468, 13454.0, -36
1277, 36, 4.0, 668, 561.6000000000001, 3.0, 7.0, 3.0, 468, 13922.0, 0
1330, 38, 5.2, 712, 627.6000000000001, 5.0, 12.0, 2.0, 512, 14434.0, 44
1386, 33, -1.3, 712, 614.4, 0.0, 12.0, -5.0, 512, 14946.0, 0
1440, 30, -2.4, 687, 576.9, -3.0, 9.0, -3.0, 487, 15433.0, -25
1496, 28, -3.6, 705, 611.4, -5.0, 4.0, -2.0, 505, 15938.0, 18
1550, 31, 0.5, 644, 514.5, -2.0, 2.0, 3.0, 444, 16382.0, -61
1601, 32, 0.0, 639, 525.2999999999999, -1.0, 1.0, 1.0, 439, 16821.0, -5
1652, 34, 1.8, 622, 501.3, 1.0, 2.0, 2.0, 422, 17243.0, -17
1702, 32, -1.5, 626, 512.4, -1.0, 1.0, -2.0, 426, 17669.0, 4
1758, 35, 3.0, 639, 530.6999999999999, 2.0, 3.0, 3.0, 439, 18108.0, 13
1812, 36, 2.9, 618, 495.2999999999999, 3.0, 6.0, 1.0, 418, 18526.0, -21
1870, 36, 2.7, 555, 407.1000000000001, 3.0, 9.0, 0.0, 355, 18881.0, -63
1922, 34, 0.6000000000000001, 574, 454.5, 1.0, 10.0, -2.0, 374, 19255.0, 19
1979, 34, 1.7, 532, 385.8, 1.0, 11.0, 0.0, 332, 19587.0, -42
2036, 31, -1.8, 544, 416.4000000000001, -2.0, 9.0, -3.0, 344, 19931.0, 12
2090, 30, -1.7, 537, 402.3, -3.0, 6.0, -1.0, 337, 20268.0, -7
2146, 33, 2.1, 491, 335.4, 0.0, 6.0, 3.0, 291, 20559.0, -46
2203, 33, 0.6000000000000001, 499, 361.2, 0.0, 6.0, 0.0, 299, 20858.0, 8
2259, 35, 3.0, 483, 334.7999999999999, 2.0, 8.0, 2.0, 283, 21141.0, -16
2312, 33, -0.2, 483, 339.6, 0.0, 8.0, -2.0, 283, 21424.0, 0
2367, 31, -1.6, 469, 318.6, -2.0, 6.0, -2.0, 269, 21693.0, -14
2422, 28, -4.4, 462, 312.3, -5.0, 1.0, -3.0, 262, 21955.0, -7
2476, 33, 2.6, 448, 293.4, 0.0, 1.0, 5.0, 248, 22203.0, -14
2529, 37, 4.9, 433, 275.1, 4.0, 5.0, 4.0, 233, 22436.0, -15
2586, 35, 0.9, 429, 273.6, 2.0, 7.0, -2.0, 229, 22665.0, -4
2646, 31, -2.7, 418, 258.3, -2.0, 5.0, -4.0, 218, 22883.0, -11
2700, 30, -2.1, 420, 264.6, -3.0, 2.0, -1.0, 220, 23103.0, 2
2755, 34, 2.9, 418, 260.9999999999999, 1.0, 3.0, 4.0, 218, 23321.0, -2
2816, 34, 1.0, 410, 249.6, 1.0, 4.0, 0.0, 210, 23531.0, -8
2869, 35, 2.3, 412, 255.0, 2.0, 6.0, 1.0, 212, 23743.0, 2
2923, 31, -2.8, 408, 248.4, -2.0, 4.0, -4.0, 208, 23951.0, -4
2979, 31, -1.0, 410, 252.6, -2.0, 2.0, 0.0, 210, 24161.0, 2
3033, 33, 1.2, 420, 267.0, 0.0, 2.0, 2.0, 220, 24381.0, 10
3098, 37, 5.0, 404, 240.0, 4.0, 6.0, 4.0, 204, 24585.0, -16
3148, 36, 2.2, 397, 234.3, 3.0, 9.0, -1.0, 197, 24782.0, -7
3207, 34, 0.6000000000000001, 401, 242.4, 1.0, 10.0, -2.0, 201, 24983.0, 4
3261, 29, -4.3, 428, 281.7, -4.0, 6.0, -5.0, 228, 25211.0, 27
3322, 29, -2.2, 446, 300.6, -4.0, 2.0, 0.0, 246, 25457.0, 18
3378, 33, 2.2, 460, 316.2, 0.0, 2.0, 4.0, 260, 25717.0, 14
3432, 37, 5.0, 372, 180.0, 4.0, 6.0, 4.0, 172, 25889.0, -88
3488, 40, 7.0, 353, 177.9, 7.0, 13.0, 3.0, 153, 26042.0, -19
3541, 36, 1.4, 340, 164.1, 3.0, 16.0, -4.0, 140, 26182.0, -13
3597, 34, 1.3, 338, 165.0, 1.0, 17.0, -2.0, 138, 26320.0, -2
3650, 32, 0.0, 340, 168.6, -1.0, 16.0, -2.0, 140, 26460.0, 2
3706, 31, -0.2999999999999998, 348, 180.0, -2.0, 14.0, -1.0, 148, 26608.0, 8
3760, 28, -3.6, 349, 179.1, -5.0, 9.0, -3.0, 149, 26757.0, 1
3817, 28, -2.6, 338, 162.3, -5.0, 4.0, 0.0, 138, 26895.0, -11
3872, 34, 4.1, 347, 179.1, 1.0, 5.0, 6.0, 147, 27042.0, 9
3927, 37, 4.8, 357, 191.4, 4.0, 9.0, 3.0, 157, 27199.0, 10
