time, color, angle, distance, speed, color_dev, color_int, color_der, speed_dev, speed_int, speed_der
0, 19, -16.8, 863, 994.5, -14.0, -14.0, -14.0, 663, 663.0, 663.0
60, 19, -11.2, 863, 795.6, -14.0, -28.0, 0.0, 663, 1326.0, 0
111, 22, -9.0, 863, 795.6, -11.0, -39.0, 3.0, 663, 1989.0, 0
166, 28, -4.4, 871, 807.5999999999999, -5.0, -44.0, 6.0, 671, 2660.0, 8
218, 33, -1.9, 861, 790.1999999999999, 0.0, -44.0, 5.0, 661, 3321.0, -10
279, 40, 4.0, 855, 784.2000000000001, 7.0, -37.0, 7.0, 655, 3976.0, -6
338, 42, 3.599999999999999, 849, 777.0, 9.0, -28.0, 2.0, 649, 4625.0, -6
389, 38, -1.3, 849, 778.7999999999999, 5.0, -23.0, -4.0, 649, 5274.000000000001, 0
446, 33, -4.800000000000001, 834, 756.3, 0.0, -23.0, -5.0, 634, 5908.0, -15
501, 32, -3.5, 831, 756.3, -1.0, -24.0, -1.0, 631, 6539.000000000001, -3
557, 35, 0.4999999999999998, 788, 692.7, 2.0, -22.0, 3.0, 588, 7127.0, -43
612, 37, 1.6, 796, 717.5999999999999, 4.0, -18.0, 2.0, 596, 7723.000000000001, 8
668, 39, 3.399999999999999, 794, 712.2, 6.0, -12.0, 2.0, 594, 8317.0, -2
721, 39, 3.0, 788, 703.8000000000001, 6.0, -6.0, 0.0, 588, 8904.999999999999, -6
776, 42, 7.199999999999999, 786, 702.5999999999999, 9.0, 3.0, 3.0, 586, 9491.0, -2
830, 44, 9.0, 792, 712.2, 11.0, 14.0, 2.0, 592, 10083.0, 6
890, 44, 9.1, 765, 669.9, 11.0, 25.0, 0.0, 565, 10648.0, -27
941, 36, 0.5999999999999996, 766, 679.4999999999999, 3.0, 28.0, -8.0, 566, 11214.0, 1
992, 28, -4.699999999999999, 766, 679.2, -5.0, 23.0, -8.0, 566, 11780.0, 0
1046, 24, -5.999999999999999, 766, 679.2, -9.0, 14.0, -4.0, 566, 12346.0, 0
1102, 23, -6.1, 754, 661.1999999999999, -10.0, 4.0, -1.0, 554, 12900.0, -12
1156, 22, -7.8, 754, 664.8, -11.0, -7.0, -1.0, 554, 13454.0, 0
1213, 23, -7.2, 754, 664.8, -10.0, -17.0, 1.0, 554, 14008.0, 0
1268, 31, 0.9, 736, 637.8, -2.0, -19.0, 8.0, 536, 14544.0, -18
1326, 39, 6.3, 740, 649.2000000000001, 6.0, -13.0, 8.0, 540, 15084.0, 4
1380, 45, 10.1, 730, 633.0, 12.0, -1.0, 6.0, 530, 15614.0, -10
1442, 49, 13.1, 729, 634.5, 16.0, 15.0, 4.0, 529, 16143.0, -1
1498, 44, 6.699999999999999, 722, 624.2999999999999, 11.0, 26.0, -5.0, 522, 16665.0, -7
1553, 29, -7.699999999999999, 721, 624.9, -4.0, 22.0, -15.0, 521, 17186.0, -1
1607, 24, -6.6, 714, 614.6999999999999, -9.0, 13.0, -5.0, 514, 17700.0, -7
1661, 20, -9.800000000000001, 706, 604.8, -13.0, 0.0, -4.0, 506, 18206.0, -8
1716, 22, -6.699999999999999, 696, 592.2, -11.0, -11.0, 2.0, 496, 18702.0, -10
1770, 24, -6.399999999999999, 685, 578.7000000000001, -9.0, -20.0, 2.0, 485, 19187.0, -11
1827, 32, 1.3, 666, 553.4999999999999, -1.0, -21.0, 8.0, 466, 19653.0, -19
1881, 40, 6.8, 677, 575.7, 7.0, -14.0, 8.0, 477, 20130.0, 11
1937, 46, 10.7, 668, 558.9, 13.0, -1.0, 6.0, 468, 20598.0, -9
1991, 45, 7.799999999999999, 653, 539.1, 12.0, 11.0, -1.0, 453, 21051.0, -15
2047, 39, 2.3, 645, 531.6000000000001, 6.0, 17.0, -6.0, 445, 21496.0, -8
2101, 30, -4.899999999999999, 641, 527.9999999999999, -3.0, 14.0, -9.0, 441, 21937.0, -4
2156, 28, -3.1, 639, 526.2, -5.0, 9.0, -2.0, 439, 22376.0, -2
2210, 28, -2.6, 632, 516.2999999999999, -5.0, 4.0, 0.0, 432, 22808.0, -7
2267, 29, -1.9, 630, 515.4, -4.0, 0.0, 1.0, 430, 23238.0, -2
2321, 31, -0.3999999999999999, 630, 516.0, -2.0, -2.0, 2.0, 430, 23668.0, 0
2376, 33, 0.8, 607, 481.5, 0.0, -2.0, 2.0, 407, 24075.0, -23
2429, 35, 2.2, 614, 498.9, 2.0, 0.0, 2.0, 414, 24489.0, 7
2488, 38, 5.0, 607, 486.3, 5.0, 5.0, 3.0, 407, 24896.0, -7
2539, 41, 7.6, 581, 449.4, 8.0, 13.0, 3.0, 381, 25277.0, -26
2589, 39, 4.5, 578, 452.7, 6.0, 19.0, -2.0, 378, 25655.0, -3
2647, 31, -3.5, 578, 453.6, -2.0, 17.0, -8.0, 378, 26033.0, 0
2697, 26, -5.7, 572, 444.6, -7.0, 10.0, -5.0, 372, 26405.0, -6
2747, 26, -3.9, 563, 432.9, -7.0, 3.0, 0.0, 363, 26768.0, -9
2798, 28, -2.2, 519, 369.6, -5.0, -2.0, 2.0, 319, 27087.0, -44
2855, 29, -2.5, 509, 367.8, -4.0, -6.0, 1.0, 309, 27396.0, -10
2907, 31, -1.0, 511, 373.8, -2.0, -8.0, 2.0, 311, 27707.0, 2
2960, 31, -2.2, 511, 373.2, -2.0, -10.0, 0.0, 311, 28018.0, 0
3017, 36, 3.6, 518, 383.7, 3.0, -7.0, 5.0, 318, 28336.0, 7
3070, 44, 11.0, 491, 341.1, 11.0, 4.0, 8.0, 291, 28627.0, -27
3126, 38, 0.9, 504, 368.7, 5.0, 9.0, -6.0, 304, 28931.0, 13
3179, 35, 0.7999999999999998, 491, 345.3, 2.0, 11.0, -3.0, 291, 29222.0, -13
3238, 31, -2.3, 481, 334.2, -2.0, 9.0, -4.0, 281, 29503.0, -10
3294, 32, 0.7000000000000001, 481, 337.2, -1.0, 8.0, 1.0, 281, 29784.0, 0
3349, 33, 1.3, 471, 322.2, 0.0, 8.0, 1.0, 271, 30055.0, -10
3399, 35, 3.2, 445, 286.2, 2.0, 10.0, 2.0, 245, 30300.0, -26
3450, 34, 1.2, 436, 280.5, 1.0, 11.0, -1.0, 236, 30536.0, -9
3506, 30, -3.0, 433, 278.7, -3.0, 8.0, -4.0, 233, 30769.0, -3
3561, 30, -1.3, 428, 272.1, -3.0, 5.0, 0.0, 228, 30997.0, -5
3617, 35, 4.4, 427, 272.1, 2.0, 7.0, 5.0, 227, 31224.0, -1
3671, 36, 3.3, 412, 249.9, 3.0, 10.0, 1.0, 212, 31436.0, -15
3730, 32, -1.7, 425, 273.9, -1.0, 9.0, -4.0, 225, 31661.0, 13
3786, 27, -5.8, 420, 262.5, -6.0, 3.0, -5.0, 220, 31881.0, -5
3849, 29, -1.5, 411, 250.5, -4.0, -1.0, 2.0, 211, 32092.0, -9
3907, 34, 3.1, 404, 242.7, 1.0, 0.0, 5.0, 204, 32296.0, -7
3958, 33, -0.5, 397, 234.3, 0.0, 0.0, -1.0, 197, 32493.0, -7
4012, 29, -4.8, 399, 239.4, -4.0, -4.0, -4.0, 199, 32692.0, 2
4065, 27, -5.6, 404, 246.3, -6.0, -10.0, -2.0, 204, 32896.0, 5
4121, 29, -2.8, 399, 237.3, -4.0, -14.0, 2.0, 199, 33095.0, -5
4177, 36, 4.199999999999999, 383, 214.8, 3.0, -11.0, 7.0, 183, 33278.0, -16
4229, 39, 4.6, 376, 209.1, 6.0, -5.0, 3.0, 176, 33454.0, -7
4287, 41, 6.1, 376, 211.2, 8.0, 3.0, 2.0, 176, 33630.0, 0
4340, 39, 3.5, 380, 217.2, 6.0, 9.0, -2.0, 180, 33810.0, 4
4397, 34, -0.9, 376, 210.0, 1.0, 10.0, -5.0, 176, 33986.0, -4
4448, 33, 0.5, 376, 211.2, 0.0, 10.0, -1.0, 176, 34162.0, 0
4506, 31, -1.4, 370, 202.2, -2.0, 8.0, -2.0, 170, 34332.0, -6
4559, 28, -4.2, 366, 198.0, -5.0, 3.0, -3.0, 166, 34498.0, -4
4617, 31, 0.4000000000000002, 365, 197.7, -2.0, 1.0, 3.0, 165, 34663.0, -1
4675, 36, 4.699999999999999, 365, 198.0, 3.0, 4.0, 5.0, 165, 34828.0, 0
4737, 33, -1.1, 370, 205.5, 0.0, 4.0, -3.0, 170, 34998.0, 5
4791, 30, -3.2, 353, 178.5, -3.0, 1.0, -3.0, 153, 35151.0, -17
4846, 28, -4.4, 355, 186.6, -5.0, -4.0, -2.0, 155, 35306.0, 2
4899, 28, -3.9, 357, 189.0, -5.0, -9.0, 0.0, 157, 35463.0, 2
4950, 30, -2.0, 355, 185.4, -3.0, -12.0, 2.0, 155, 35618.0, -2
5002, 32, -0.9, 365, 201.0, -1.0, -13.0, 2.0, 165, 35783.0, 10
5052, 37, 4.0, 349, 174.0, 4.0, -9.0, 5.0, 149, 35932.0, -16
5107, 42, 7.899999999999999, 365, 202.8, 9.0, 0.0, 5.0, 165, 36097.0, 16
5158, 45, 9.899999999999999, 357, 186.0, 12.0, 12.0, 3.0, 157, 36254.0, -8
5217, 39, 2.399999999999999, 353, 182.4, 6.0, 18.0, -6.0, 153, 36407.0, -4
5273, 30, -4.8, 340, 164.1, -3.0, 15.0, -9.0, 140, 36547.0, -13
5328, 26, -5.4, 348, 180.0, -7.0, 8.0, -4.0, 148, 36695.0, 8
5382, 29, -0.5, 345, 173.1, -4.0, 4.0, 3.0, 145, 36840.0, -3
5436, 30, -1.2, 348, 178.5, -3.0, 1.0, 1.0, 148, 36988.0, 3
5495, 30, -2.0, 349, 179.1, -3.0, -2.0, 0.0, 149, 37137.0, 1
5549, 32, 0.1, 349, 178.8, -1.0, -3.0, 2.0, 149, 37286.0, 0
5607, 33, 0.2, 357, 190.8, 0.0, -3.0, 1.0, 157, 37443.0, 8
5661, 32, -1.5, 364, 198.9, -1.0, -4.0, -1.0, 164, 37607.0, 7
5716, 29, -4.7, 353, 180.3, -4.0, -8.0, -3.0, 153, 37760.0, -11
5772, 32, 0.0, 353, 183.6, -1.0, -9.0, 3.0, 153, 37913.0, 0
5826, 35, 2.0, 347, 174.6, 2.0, -7.0, 3.0, 147, 38060.0, -6
5877, 35, 0.7, 351, 182.4, 2.0, -5.0, 0.0, 151, 38211.0, 4
5928, 34, -0.3, 357, 190.2, 1.0, -4.0, -1.0, 157, 38368.0, 6
