time, color, angle, distance, speed, color_dev, color_int, color_der, speed_dev, speed_int, speed_der
0, 8, -27.5, 865, 598.5, -25.0, -25.0, -25.0, 665, 665.0, 665.0
59, 8, -17.5, 861, 395.4, -25.0, -50.0, 0.0, 661, 1326.0, -4
110, 10, -17.8, 853, 389.4, -23.0, -73.00000000000001, 2.0, 653, 1979.0, -8
171, 17, -13.4, 873, 409.8, -16.0, -89.0, 7.0, 673, 2652.0, 20
230, 33, -0.9000000000000004, 863, 394.8, 0.0, -89.0, 16.0, 663, 3315.0, -10
281, 47, 6.5, 863, 397.8, 14.0, -75.0, 14.0, 663, 3978.0, 0
345, 58, 13.0, 857, 392.4, 25.0, -50.0, 11.0, 657, 4635.000000000001, -6
400, 54, 5.6, 857, 394.2, 21.0, -29.0, -4.0, 657, 5292.000000000001, 0
458, 49, 4.2, 812, 353.7, 16.0, -13.0, -5.0, 612, 5904.0, -45
518, 54, 13.8, 842, 394.2, 21.0, 8.0, 5.0, 642, 6546.000000000001, 30
573, 58, 17.8, 842, 385.2, 25.0, 33.0, 4.0, 642, 7188.0, 0
630, 55, 15.0, 842, 385.2, 22.0, 55.0, -3.0, 642, 7830.0, 0
685, 38, 0.0, 780, 329.4, 5.0, 60.0, -17.0, 580, 8410.000000000002, -62
739, 24, -6.399999999999999, 780, 348.0, -9.0, 51.00000000000001, -14.0, 580, 8990.0, 0
790, 13, -12.4, 766, 335.4, -20.0, 31.0, -11.0, 566, 9556.000000000001, -14
841, 8, -14.4, 766, 339.6, -25.0, 6.0, -5.0, 566, 10122.0, 0
895, 9, -13.3, 766, 339.6, -24.0, -18.0, 1.0, 566, 10688.0, 0
950, 18, -6.300000000000001, 766, 339.6, -15.0, -33.0, 9.0, 566, 11254.0, 0
1010, 32, 3.1, 748, 323.4, -1.0, -34.0, 14.0, 548, 11802.0, -18
1063, 45, 10.3, 748, 328.8, 12.0, -22.0, 13.0, 548, 12350.0, 0
1119, 50, 10.5, 714, 298.2, 17.0, -5.0, 5.0, 514, 12864.0, -34
1173, 52, 11.9, 714, 308.4, 19.0, 14.0, 2.0, 514, 13378.0, 0
1228, 37, -3.7, 714, 308.4, 4.0, 18.0, -15.0, 514, 13892.0, 0
