Population Size,200
Crossover Rate,0.6
Proposition Crossover Rate,1.0
Mutation Rate,0.2
Proposition Mutation Rate,1.0
Budget,10
LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
color t+0,>,color_goal,color t+1,<,color_goal,13,76,66,36,14.606741573033707
LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
color t+0,>,color_goal,angle t+0,>=,angle t+14,73,12,27,66,85.88235294117646
color t+0,>,color_goal,color t+1,>=,color_goal,76,13,36,66,85.39325842696628
color t+49,>,color_goal,speed t+0,>,speed t+4,52,10,52,29,83.87096774193549
color t+0,>,color_goal,distance t+14,<=,distance t+0,71,14,72,21,83.52941176470588
color t+47,>,color_goal,speed t+0,>=,speed t+28,52,11,66,16,82.53968253968253
color t+0,>,color_goal,speed t+0,>=,speed t+28,66,14,64,20,82.5
color t+0,>,color_goal,speed t+0,>,speed t+24,67,16,62,23,80.72289156626506
color t+17,>,color_goal,speed t+0,>=,speed t+28,60,15,70,19,80.0
color t+10,>,color_goal,speed t+0,>,speed t+4,64,18,59,41,78.04878048780488
color t+0,<=,color_goal,color t+0,<,color_goal,79,24,0,89,76.69902912621359
color t+1,>,color_goal,angle t+0,>=,angle t+14,63,21,37,57,75.0
color t+0,>,color_goal,color t+1,>,color_goal,66,23,22,80,74.15730337078652
color t+28,>,color_goal,speed t+0,>=,speed t+28,53,19,77,15,73.61111111111111
color t+2,>,color_goal,speed t+0,>,speed t+4,64,23,65,36,73.5632183908046
color t+0,<,color_goal,color t+1,<,color_goal,57,21,22,91,73.07692307692307
color t+30,>,color_goal,color t+0,>=,color_goal,50,22,46,44,69.44444444444444
color t+0,>,color_goal,speed t+0,>,speed t+4,61,28,68,31,68.53932584269663
color t+21,>,color_goal,color t+0,>=,color_goal,52,24,51,44,68.42105263157895
color t+0,>=,color_goal,color t+1,>,color_goal,76,37,12,66,67.2566371681416
color t+8,>,color_goal,speed t+0,>,speed t+4,54,28,71,31,65.85365853658537
color t+17,>,color_goal,speed t+0,>,speed t+4,52,27,67,29,65.82278481012658
color t+0,<=,color_goal,color t+1,<,color_goal,66,36,13,76,64.70588235294117
distance t+20,<=,distance t+36,color t+0,>=,color_goal,25,14,68,49,64.1025641025641
color t+37,>,color_goal,speed t+0,>,speed t+4,43,25,65,22,63.23529411764706
color t+4,>,color_goal,speed t+0,>,speed t+4,53,32,76,27,62.35294117647059
color t+0,==,color_goal,speed t+0,>=,speed t+28,11,7,119,27,61.111111111111114
color t+36,>,color_goal,speed t+0,>,speed t+4,42,27,66,21,60.86956521739131
color t+0,>,color_goal,color t+6,<,color_goal,54,35,25,72,60.67415730337079
color t+0,>,color_goal,color t+7,<,color_goal,51,37,28,69,57.95454545454546
color t+0,>,color_goal,color t+5,<,color_goal,51,38,28,70,57.30337078651685
speed t+5,>,speed t+0,color t+44,>,color t+30,20,15,41,72,57.14285714285714
color t+0,>,color_goal,color t+25,<,color_goal,47,36,22,62,56.62650602409639
color t+0,<,color_goal,color t+20,<,color_goal,38,31,34,69,55.072463768115945
color t+34,>,color_goal,color t+0,>=,color_goal,39,32,56,31,54.929577464788736
color t+0,>,color_goal,color t+24,<,color_goal,45,38,24,61,54.21686746987952
color t+12,>,color_goal,color t+0,<=,color_goal,44,38,51,47,53.65853658536586
color t+24,>,color_goal,color t+0,<,color_goal,40,35,26,67,53.333333333333336
color t+46,>,color_goal,color t+0,<,color_goal,34,30,23,59,53.125
color t+0,>=,color_goal,color t+6,<,color_goal,60,53,19,54,53.09734513274337
color t+0,>,color_goal,color t+45,<,color_goal,38,34,22,53,52.77777777777778
color t+25,>,color_goal,color t+0,<,color_goal,39,35,27,66,52.702702702702695
color t+0,>,color_goal,color t+26,<,color_goal,43,39,26,58,52.4390243902439
color t+5,>,color_goal,color t+0,<,color_goal,44,40,30,73,52.38095238095239
color t+6,>,color_goal,color t+0,<,color_goal,43,40,30,73,51.80722891566265
color t+7,>,color_goal,color t+0,<,color_goal,42,40,31,72,51.21951219512195
color t+26,>=,color t+12,angle t+0,>=,angle t+14,43,41,51,31,51.19047619047619
color t+45,>,color_goal,color t+0,<,color_goal,33,32,24,58,50.76923076923077
color t+0,>,color_goal,color t+46,<,color_goal,36,35,24,51,50.70422535211267
color t+26,>,color_goal,color t+0,<,color_goal,37,36,29,64,50.68493150684932
color t+0,>,color_goal,color t+44,<,color_goal,37,36,23,52,50.68493150684932
color t+0,>,color_goal,color t+4,<,color_goal,45,44,34,65,50.56179775280899
color t+0,>=,color_goal,color t+4,<,color_goal,57,56,22,53,50.442477876106196
color t+0,<,color_goal,color t+39,<,color_goal,30,30,34,59,50.0
color t+4,>,color_goal,color t+0,<,color_goal,42,43,33,70,49.411764705882355
color t+38,>,color_goal,color t+5,>,color t+0,33,34,44,43,49.25373134328358
color t+0,>,color_goal,color t+43,<,color_goal,36,38,24,51,48.64864864864865
color t+27,>,color_goal,color t+0,<,color_goal,35,37,31,62,48.61111111111111
color t+0,>,color_goal,color t+8,<,color_goal,42,45,36,61,48.275862068965516
color t+0,>,color_goal,color t+15,<,color_goal,41,44,31,61,48.23529411764706
color t+0,>,color_goal,color t+23,<,color_goal,40,43,29,57,48.19277108433735
color t+0,>,color_goal,color t+27,<,color_goal,39,42,30,54,48.148148148148145
color t+0,<,color_goal,color t+2,<,color_goal,37,40,42,71,48.05194805194805
color t+0,>,color_goal,color t+16,<,color_goal,40,44,32,60,47.61904761904761
color t+47,>,color_goal,color t+0,<,color_goal,30,33,27,55,47.61904761904761
color t+13,>,color_goal,color t+0,<,color_goal,39,43,34,63,47.5609756097561
color t+14,>,color_goal,color t+0,<,color_goal,39,43,33,63,47.5609756097561
color t+13,>,color_goal,angle t+0,>=,angle t+14,39,43,61,35,47.5609756097561
color t+0,<,color_goal,color t+49,<,color_goal,27,30,32,54,47.368421052631575
color t+0,>,color_goal,color t+3,<,color_goal,42,47,37,63,47.19101123595505
color t+0,>=,color_goal,color t+15,<,color_goal,50,56,22,49,47.16981132075472
color t+44,>,color_goal,color t+0,<,color_goal,31,35,26,56,46.96969696969697
color t+0,>,color_goal,color t+42,<,color_goal,35,40,26,49,46.666666666666664
color t+23,>,color_goal,color t+0,<,color_goal,35,41,32,61,46.05263157894737
color t+15,>,color_goal,color t+0,<,color_goal,37,44,34,62,45.67901234567901
color t+8,>,color_goal,color t+0,<,color_goal,37,45,36,66,45.1219512195122
color t+34,>,color_goal,color t+0,<,color_goal,32,39,31,56,45.07042253521127
color t+0,>,color_goal,color t+28,<,color_goal,36,44,33,51,45.0
color t+3,>,color_goal,color t+0,<,color_goal,38,48,38,65,44.18604651162791
color t+0,>,color_goal,color t+41,<,color_goal,33,42,29,47,44.0
color t+0,>,color_goal,color t+14,<,color_goal,37,48,35,58,43.529411764705884
color t+0,>,color_goal,color t+22,<,color_goal,36,47,34,53,43.373493975903614
