LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
color t+0,>,color_goal,color t+1,<,color_goal,15,56,94,26,21.12676056338028
LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
color t+28,>,color_goal,color t+0,!=,color_goal,58,1,95,10,98.30508474576271
color t+31,>,color_goal,color t+0,!=,color_goal,57,1,93,10,98.27586206896551
color t+32,>,color_goal,color t+0,!=,color_goal,57,1,93,9,98.27586206896551
color t+0,>,color_goal,color t+36,!=,color t+26,57,2,96,1,96.61016949152543
color t+48,>,color_goal,color t+0,!=,color_goal,48,2,87,7,96.0
color t+49,>,color_goal,color t+0,!=,color_goal,47,2,88,6,95.91836734693877
color t+22,>,color_goal,color t+0,!=,color_goal,58,3,100,9,95.08196721311475
color t+39,>,color_goal,color t+0,!=,color_goal,51,3,93,6,94.44444444444444
speed t+21,<,speed t+10,color t+0,!=,color_goal,119,8,40,4,93.7007874015748
color t+0,>,color_goal,color t+1,!=,color_goal,66,5,113,7,92.95774647887323
color t+41,>,color_goal,color t+0,!=,color_goal,49,4,93,5,92.45283018867924
color t+43,>,color_goal,color t+0,!=,color_goal,49,4,91,5,92.45283018867924
color t+16,>,color_goal,color t+0,!=,color_goal,60,5,104,7,92.3076923076923
color t+17,>,color_goal,color t+0,!=,color_goal,59,5,104,7,92.1875
color t+8,>,color_goal,color t+0,!=,color_goal,60,6,112,6,90.9090909090909
color t+0,>,color_goal,color t+5,<,color_goal,63,8,45,71,88.73239436619718
color t+0,>,color_goal,color t+5,<,color_goal,63,8,45,71,88.73239436619718
color t+0,>,color_goal,color t+5,<,color_goal,63,8,45,71,88.73239436619718
color t+24,>,color_goal,color t+0,!=,color_goal,54,7,102,5,88.52459016393442
color t+7,>,color_goal,color t+0,!=,color_goal,59,8,114,4,88.05970149253731
color t+4,>,color_goal,color t+0,<=,color_goal,61,9,56,62,87.14285714285714
color t+0,>,color_goal,color t+4,<,color_goal,60,11,48,69,84.50704225352112
color t+0,>,color_goal,color t+4,<,color_goal,60,11,48,69,84.50704225352112
color t+0,>,color_goal,color t+4,<,color_goal,60,11,48,69,84.50704225352112
color t+0,>,color_goal,color t+4,<,color_goal,60,11,48,69,84.50704225352112
color t+0,>,color_goal,color t+4,<,color_goal,60,11,48,69,84.50704225352112
color t+0,<,color_goal,color t+1,<,color_goal,88,20,21,62,81.48148148148148
color t+0,>,color_goal,color t+25,<,color_goal,50,12,46,59,80.64516129032258
color t+5,>,color_goal,color t+0,<,color_goal,55,14,49,69,79.71014492753623
color t+5,>,color_goal,color t+0,<,color_goal,55,14,49,69,79.71014492753623
color t+0,>,color_goal,color t+24,<,color_goal,50,13,47,58,79.36507936507937
color t+0,>,color_goal,color t+24,<,color_goal,50,13,47,58,79.36507936507937
color t+0,>,color_goal,color t+24,<,color_goal,50,13,47,58,79.36507936507937
color t+0,>,color_goal,color t+1,>=,color_goal,56,15,26,94,78.87323943661971
color t+4,>,color_goal,color t+0,<,color_goal,55,15,50,68,78.57142857142857
color t+4,>,color_goal,color t+0,<,color_goal,55,15,50,68,78.57142857142857
color t+4,>,color_goal,color t+0,<,color_goal,55,15,50,68,78.57142857142857
color t+0,<=,color_goal,color t+1,<,color_goal,94,26,15,56,78.33333333333333
color t+0,>,color_goal,color t+6,<,color_goal,55,16,53,62,77.46478873239437
color t+0,>,color_goal,color t+6,<,color_goal,55,16,53,62,77.46478873239437
color t+0,>,color_goal,color t+6,<,color_goal,55,16,53,62,77.46478873239437
color t+0,==,color_goal,color t+1,!=,color_goal,9,3,170,9,75.0
color t+0,==,color_goal,color t+12,<,color_goal,9,3,96,72,75.0
color t+13,>,color_goal,color t+0,<,color_goal,48,17,52,62,73.84615384615385
color t+13,>,color_goal,color t+0,<,color_goal,48,17,52,62,73.84615384615385
color t+13,>,color_goal,color t+0,<,color_goal,48,17,52,62,73.84615384615385
color t+26,>,color_goal,color t+0,<=,color_goal,45,16,60,45,73.77049180327869
color t+0,>,color_goal,color t+23,<,color_goal,47,17,51,54,73.4375
color t+0,>,color_goal,color t+23,<,color_goal,47,17,51,54,73.4375
color t+0,>,color_goal,color t+23,<,color_goal,47,17,51,54,73.4375
color t+0,>,color_goal,color t+23,<,color_goal,47,17,51,54,73.4375
